gentilicio,comunidad autonoma,provincia
andaluz,andalucía,
andaluza,andalucía,
bético,andalucía,
bética,andalucía,
jándalo,andalucía,
jándala,andalucía,
sevillano,andalucía,sevilla
sevillana,andalucía,sevilla
hispalense,andalucía,sevilla
almeriense,andalucía,almería
urcitano,andalucía,almería
urcitana,andalucía,almería
gaditano,andalucía,cádiz
gaditana,andalucía,cádiz
granadino,andalucía,granda
granadina,andalucía,granda
iliberitano,andalucía,granda
iliberitana,andalucía,granda
onubense,andalucía,huelva
jiennense,andalucía,jaén
giennense,andalucía,jaén
jaenés,andalucía,jaén
jaenésa,andalucía,jaén
jaenero,andalucía,jaén
jaenera,andalucía,jaén
aurgitano,andalucía,jaén
aurgitana,andalucía,jaén
malagueño,andalucía,málaga
malagueña,andalucía,málaga
malacitano,andalucía,málaga
malacitana,andalucía,málaga
aragonés,aragón,
aragonésa,aragón,
zaragozano,aragón,zaragoza
zaragozana,aragón,zaragoza
oscense,aragón,huesca
turolense,aragón,teruel
asturiano,asturias,
asturiana,asturias,
astur,asturias,
cántabro,cantabria,
cántabra,cantabria,
santanderino,cantabria,santander
santanderina,cantabria,santander
santanderiense,cantabria,santander
castellano-manchego,castilla-la mancha,
castellano-manchega,castilla-la mancha,
castellanomanchego,castilla-la mancha,
castellanomanchega,castilla-la mancha,
toledano,castilla-la mancha,toledo
toledana,castilla-la mancha,toledo
ciudadrealeño,castilla-la mancha,ciudad real
ciudadrealeña,castilla-la mancha,ciudad real
culipardo,castilla-la mancha,ciudad real
culiparda,castilla-la mancha,ciudad real
conquense,castilla-la mancha,cuenca
arriacense,castilla-la mancha,guadalajara
caracense,castilla-la mancha,guadalajara
albaceteño,castilla-la mancha,albacete
albaceteña,castilla-la mancha,albacete
albacetense,castilla-la mancha,albacete
castellanoleonés,castilla y león,
castellanoleonésa,castilla y león,
abulense,castilla y león,ávila
burgalés,castilla y león,burgos
burgalésa,castilla y león,burgos
cazurro,castilla y león,león
palentino,castilla y león,palencia
palentina,castilla y león,palencia
salmantino,castilla y león,salamanca
salmantina,castilla y león,salamanca
segoviano,castilla y león,segovia
segoviana,castilla y león,segovia
soriano,castilla y león,soria
soriana,castilla y león,soria
vallisoletano,castilla y león,valladolid
vallisoletana,castilla y león,valladolid
zamorano,castilla y león,zamora
zamorana,castilla y león,zamora
catalán,cataluña,
catalana,cataluña,
barcelonés,cataluña,barcelona
barcelonésa,cataluña,barcelona
gerundense,cataluña,gerona
leridano,cataluña,lérida
leridana,cataluña,lérida
ilerdense,cataluña,lérida
tarraconense,cataluña,tarragona
extremeño,extremadura,
extremeña,extremadura,
castúo,extremadura,
castúa,extremadura,
emeritense,extremadura,badajoz
pacense,extremadura,badajoz
cacereño,extremadura,cáceres
cacereña,extremadura,cáceres
mangurrino,extremadura,cáceres
mangurrina,extremadura,cáceres
gallego,galicia,
gallega,galicia,
santiagués,galicia,coruña
santiaguésa,galicia,coruña
compostelano,galicia,coruña
compostelana,galicia,coruña
coruñés,galicia,coruña
coruñésa,galicia,coruña
ucense,galicia,lugo
orensano,galicia,orense
orensana,galicia,orense
pontevedrés,galicia,pontevedra
pontevedrésa,galicia,pontevedra
balear,islas baleares,
balearica,islas baleares,
balearico,islas baleares,
gimnesiense,islas baleares,
palmesano,islas baleares,baleares
palmesana,islas baleares,baleares
palmenses,islas baleares,baleares
palmesans,islas baleares,baleares
caprariense,islas baleares,baleares
ibicenco,islas baleares,baleares
ibicenca,islas baleares,baleares
formenterano,islas baleares,baleares
formenterana,islas baleares,baleares
mallorquín,islas baleares,baleares
mallorquína,islas baleares,baleares
menorquín,islas baleares,baleares
menorquína,islas baleares,baleares
canario,canarias,
canaria,canarias,
palmense,canarias,
herreño,canarias,
herreña,canarias,
palmero,canarias,
palmera,canarias,
tinerfeño,canarias,
tinerfeña,canarias,
chicharrero,canarias,
chicharrera,canarias,
grancanario,canarias,
grancanaria,canarias,
majorero,canarias,
majorera,canarias,
lanzaroteño,canarias,
lanzaroteña,canarias,
conejero,canarias,
conejera,canarias,
graciosero,canarias,
graciosera,canarias,
logroñes,la rioja,logroño
logroñes,la rioja,logroño
jacarero,la rioja,logroño
jacarera,la rioja,logroño
lucroniense,la rioja,logroño
juliobrigense,la rioja,logroño
madrileño,comunidad de madrid,
madrileña,comunidad de madrid,
navarro,navarra,
navarra,navarra,
pamplonés,navarra,pamplona
pamplonésa,navarra,Pamplona
pamplonico,navarra,pamplona
pamplonica,navarra,pamplona
irunsheme,navarra,pamplona
iruñes,navarra,pamplona
iruñesa,navarra,pamplona
vasco,país vasco,
vasca,país vasco,
vascongado,país vasco,
vascongada,país vasco,
vitoriano,país vasco,vitoria
vitoriana,país vasco,vitoria
alavés,país vasco,vitoria
alavésa,país vasco,vitoria
guipuzcoano,país vasco,guipúzcoa
guipuzcoana,país vasco,guipúzcoa
donostiarra,país vasco,guipúzcoa
easonense,país vasco,guipúzcoa
vizcaíno,país vasco,vizcaya
vizcaína,país vasco,vizcaya
bilbaíno,país vasco,vizcaya
bilbaína,país vasco,vizcaya
murciano,región de murcia,
murciana,región de murcia,
valenciano,comunidad de valencia,
valenciana,comunidad de valencia,
alicantino,comunidad de valencia,alicante
alicantina,comunidad de valencia,alicante
castellonense,comunidad de valencia,castellón
castellonero,comunidad de valencia,castellón
castellonera,comunidad de valencia,castellón
ceutí,ceuta,
melillense,melilla,